Time,Open,High,Low,Close,Volume
2018.01.02 00:00:00,0.97814,0.98087,0.97675,0.9808,569
2018.01.02 01:00:00,0.98024,0.98073,0.97827,0.97897,1426
2018.01.02 02:00:00,0.97902,0.98007,0.97901,0.97999,508
2018.01.02 03:00:00,0.97998,0.9813,0.97981,0.98058,933
2018.01.02 04:00:00,0.98057,0.98132,0.98054,0.98113,702
2018.01.02 05:00:00,0.98114,0.98204,0.98104,0.98176,747
2018.01.02 06:00:00,0.98178,0.98209,0.98155,0.98201,652
2018.01.02 07:00:00,0.98202,0.98264,0.98196,0.98222,748
2018.01.02 08:00:00,0.98237,0.9826,0.98189,0.98201,3095
2018.01.02 09:00:00,0.982,0.98243,0.98139,0.9814,5340
2018.01.02 10:00:00,0.98139,0.98223,0.9812,0.98184,5119
2018.01.02 11:00:00,0.98184,0.98217,0.98138,0.9817,4733
2018.01.02 12:00:00,0.9817,0.98273,0.9817,0.98264,4869
2018.01.02 13:00:00,0.98264,0.98285,0.98094,0.98158,5327
2018.01.02 14:00:00,0.98158,0.98213,0.98135,0.98162,5199
2018.01.02 15:00:00,0.98162,0.98191,0.97982,0.98,6817
2018.01.02 16:00:00,0.98,0.98118,0.97985,0.98063,9228
2018.01.02 17:00:00,0.98066,0.98125,0.97908,0.9791,12071
2018.01.02 18:00:00,0.97913,0.97973,0.97809,0.97851,9869
2018.01.02 19:00:00,0.97853,0.97888,0.97829,0.97852,5289
2018.01.02 20:00:00,0.97852,0.97897,0.9785,0.97891,3436
2018.01.02 21:00:00,0.9789,0.97955,0.97887,0.97952,3071
2018.01.02 22:00:00,0.9795,0.97971,0.9792,0.97951,3471
2018.01.02 23:00:00,0.97951,0.97991,0.97916,0.97916,2863
2018.01.03 00:00:00,0.97916,0.98,0.97909,0.97932,1128
2018.01.03 01:00:00,0.97927,0.97979,0.97919,0.97929,4310
2018.01.03 02:00:00,0.97929,0.97981,0.97889,0.97919,3670
2018.01.03 03:00:00,0.97919,0.97954,0.97845,0.97851,4811
2018.01.03 04:00:00,0.97852,0.97895,0.97789,0.97799,4743
2018.01.03 05:00:00,0.97799,0.97828,0.97769,0.97801,2414
2018.01.03 06:00:00,0.978,0.97832,0.97751,0.97812,2756
2018.01.03 07:00:00,0.97813,0.97868,0.97795,0.97855,2171
2018.01.03 08:00:00,0.97854,0.97875,0.97825,0.97859,3282
2018.01.03 09:00:00,0.97859,0.97889,0.97809,0.97885,5631
2018.01.03 10:00:00,0.97883,0.98063,0.97845,0.98041,5009
2018.01.03 11:00:00,0.98042,0.98103,0.98025,0.98099,4146
2018.01.03 12:00:00,0.98099,0.98115,0.98052,0.98103,5208
2018.01.03 13:00:00,0.98104,0.98122,0.98049,0.98073,4261
2018.01.03 14:00:00,0.98074,0.9815,0.98054,0.98069,4413
2018.01.03 15:00:00,0.98068,0.98202,0.97994,0.98191,7396
2018.01.03 16:00:00,0.9819,0.98261,0.9816,0.98189,8961
2018.01.03 17:00:00,0.98189,0.98216,0.98064,0.98193,10838
2018.01.03 18:00:00,0.98193,0.98274,0.98184,0.98248,6838
2018.01.03 19:00:00,0.98247,0.98301,0.98229,0.98298,3657
2018.01.03 20:00:00,0.98296,0.9837,0.98189,0.9819,3664
2018.01.03 21:00:00,0.98189,0.98339,0.98189,0.9829,7942
2018.01.03 22:00:00,0.9829,0.98339,0.98219,0.98301,4108
2018.01.03 23:00:00,0.98302,0.98308,0.98174,0.98199,2586
2018.01.04 00:00:00,0.98199,0.98229,0.98136,0.9815,1644
2018.01.04 01:00:00,0.98132,0.98204,0.98128,0.98192,2119
2018.01.04 02:00:00,0.98192,0.98197,0.98134,0.98159,3840
2018.01.04 03:00:00,0.9816,0.9816,0.98089,0.98109,3867
2018.01.04 04:00:00,0.98109,0.9822,0.98104,0.98197,3575
2018.01.04 05:00:00,0.98196,0.98204,0.98155,0.98194,2922
2018.01.04 06:00:00,0.98194,0.98214,0.98167,0.98184,2320
2018.01.04 07:00:00,0.98184,0.98248,0.98181,0.98225,2472
2018.01.04 08:00:00,0.98226,0.98339,0.98219,0.98269,4951
2018.01.04 09:00:00,0.98269,0.98336,0.98249,0.98318,5288
2018.01.04 10:00:00,0.98317,0.98321,0.98132,0.9814,4920
2018.01.04 11:00:00,0.98139,0.98237,0.98106,0.9822,4525
2018.01.04 12:00:00,0.9822,0.98293,0.98213,0.98271,4985
2018.01.04 13:00:00,0.98272,0.98288,0.98156,0.98218,5206
2018.01.04 14:00:00,0.98217,0.98227,0.98159,0.9818,4438
2018.01.04 15:00:00,0.98182,0.98184,0.98066,0.98099,11252
2018.01.04 16:00:00,0.98099,0.98233,0.9808,0.98167,8850
2018.01.04 17:00:00,0.98168,0.98465,0.98117,0.98453,12236
2018.01.04 18:00:00,0.9846,0.98507,0.98316,0.98355,9794
2018.01.04 19:00:00,0.98355,0.9838,0.98289,0.9835,5657
2018.01.04 20:00:00,0.98348,0.98372,0.98286,0.98316,4907
2018.01.04 21:00:00,0.98319,0.98319,0.9818,0.98282,4800
2018.01.04 22:00:00,0.98279,0.98289,0.98194,0.98257,4416
2018.01.04 23:00:00,0.98261,0.98274,0.98164,0.98164,2518
2018.01.05 00:00:00,0.98144,0.98279,0.98116,0.98197,3264
2018.01.05 01:00:00,0.98189,0.98224,0.98181,0.98217,2986
2018.01.05 02:00:00,0.98217,0.98248,0.98044,0.98114,4842
2018.01.05 03:00:00,0.98114,0.9815,0.98024,0.9803,3204
2018.01.05 04:00:00,0.98032,0.98072,0.9799,0.98029,2909
2018.01.05 05:00:00,0.98029,0.98119,0.98024,0.98119,2095
2018.01.05 06:00:00,0.98119,0.9812,0.98074,0.98104,1435
2018.01.05 07:00:00,0.98102,0.98113,0.9803,0.98031,2333
2018.01.05 08:00:00,0.98033,0.98039,0.97969,0.98005,3247
2018.01.05 09:00:00,0.98003,0.98055,0.9799,0.98037,4891
